,P015076,P015076,P015076,P015076,P015076,P015077,P015077,P015077,P015077,P015077,P015078,P015078,P015078,P015078,P015078,P015079,P015079,P015079,P015079,P015079,P015080,P015080,P015080,P015080,P015080,P015081,P015081,P015081,P015081,P015081,P015082,P015082,P015082,P015082,P015082,P015083,P015083,P015083,P015083,P015083,P015084,P015084,P015084,P015084,P015084,P015085,P015085,P015085,P015085,P015085,P015086,P015086,P015086,P015086,P015086,P015087,P015087,P015087,P015087,P015087,P015088,P015088,P015088,P015088,P015088,P015089,P015089,P015089,P015089,P015089,P015090,P015090,P015090,P015090,P015090,P015091,P015091,P015091,P015091,P015091,P015092,P015092,P015092,P015092,P015092,P015093,P015093,P015093,P015093,P015093,P015094,P015094,P015094,P015094,P015094,P015095,P015095,P015095,P015095,P015095,P015096,P015096,P015096,P015096,P015096,P015097,P015097,P015097,P015097,P015097,P015098,P015098,P015098,P015098,P015098,P015099,P015099,P015099,P015099,P015099
,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5,C1,C2,C3,C4,C5
m,298.56553513638613,1182.599314422301,1740.3659357495999,1364.0816585652478,682.3957518471755,333.64529227135034,1350.6730676892814,2163.296099828229,1633.245623894769,846.2881181705169,295.2958225624732,1269.8224049079183,1782.1944470175433,1424.1947211949312,703.5053456244544,290.0907445110831,1357.381065768496,2081.4664620008384,1585.390304232959,796.4784692507639,279.66685794956595,1369.716746735834,1713.8296628439314,1308.2957049262775,646.7972479683668,283.27616920231117,1224.1717675544453,1957.0735123168845,1425.2465915889,722.41928781124,292.5403195687153,1322.2798269582831,1718.454156719588,1275.0706915779883,633.3234060729033,283.56750010500235,1270.0478912247042,2010.6908673735816,1439.4860003238834,722.8990892074032,308.46246592511187,1220.8009648839648,1666.1560145706464,1253.3965025274176,637.1950067244808,288.4911879923203,1157.741148963919,1942.336205714986,1372.5074321468285,712.5657238115465,311.20461717115427,1194.582880492814,1630.8155447327354,1232.1343398729234,652.8519900869117,299.4001130637219,1178.2139849736216,1939.6859964550338,1389.3558080689006,736.1366009330271,289.47109348478784,986.2602302928981,1398.3091525866084,992.009195169935,568.9935481259353,318.20935897469207,866.3805359027951,2132.5259474146037,1541.1530771070184,822.9096244065743,294.0468933927322,772.9821801671551,1355.0462705598943,950.489605036346,566.1320024133222,292.4704859573963,819.5857505124548,1913.6507951785084,1362.1237105721568,699.7917496791474,285.47095462404394,1049.5925894674194,1376.2289824503177,991.5971565383776,547.2624925935452,285.438071256114,1144.7871822531297,1943.3884411447725,1416.4655017402247,683.0271240028023,270.55599764902973,1020.8898020196824,1364.33366279392,950.7384362518792,510.8538154792524,292.3362731946956,859.874303434941,1885.3327337579758,1274.5034386885834,652.6876193465433,270.8510596772769,1360.063032019873,1502.6795178984635,1080.7633643912982,563.5031353930682,284.0398108961702,1608.8896460652045,1772.4513649396918,1224.9418432384111,642.9154375513104,278.7175297827815,1392.4295944397682,1450.4990954101197,1031.2126183062621,557.9014856415232,298.8835971598703,1120.6958127279743,1882.6643079695273,1288.948299110143,696.0653271472873
std,280.17719870419074,1628.216043824049,846.2971853421564,1029.1825133612128,704.7482234564715,339.08582350494197,1606.9584977581317,1011.646483085695,1160.5192705314935,813.9777711274285,267.35212415583334,1414.2760418951943,864.9679167006743,1081.095044456738,717.396194345276,259.44229747406763,1446.580724149241,986.2846329970041,1175.9962681065615,779.0123349179975,249.97621539138834,1465.4207592971823,842.1476501102185,1007.0802262587168,687.1309931773436,250.13520758738986,1348.244622543589,907.9902640406635,1008.9715001748242,720.2300868824344,266.7275819077222,1527.961177652348,832.0392374830909,945.1502068965607,666.4629656867996,251.95703479441502,1318.160088802185,911.1571990914896,976.0426356815452,715.2901684525717,287.7039289864562,1490.847799618662,832.724581600983,970.9848570634318,670.9057832836886,260.9266040405321,1259.1866589241704,894.9259478967064,922.18418452279,709.2918344659856,291.48204221533575,1566.5031585440634,815.255192749667,952.2212829551588,680.1078452408935,272.73868167483494,1261.122792148309,904.6651641213243,965.9614180795703,722.8341799028109,264.8783661874298,1010.6066542491071,736.7848326177215,748.2929436822392,623.3289996718288,296.3918233021698,1013.63555337945,1028.8720162054924,1084.496258688376,819.2889178365634,311.45924581570677,969.5155458383391,719.9418080607925,716.6391017010321,611.7198789996708,267.32874686516504,937.8703552868919,966.3732793782464,976.3026937567984,725.187679733639,255.3554812984594,1010.6673965523318,721.5449630144316,760.3287138367978,603.9187760226744,262.54228016891057,859.0916955079622,989.568581058221,1088.8188142334122,722.4916344885404,233.58364254954003,1000.9133532379761,690.253181941739,681.6571777297979,557.7439855035119,269.0813415683083,857.4696711048946,932.4426375304531,863.3204273651812,689.8375180748087,338.8591557336824,1071.6330722745781,771.12851932419,822.3075681728197,610.1186857267263,271.64414730604346,878.6091829667231,942.3870619701868,898.0471910640998,699.1184888203771,254.84445263702523,1067.7040874350814,739.3802723368718,768.5690162596097,608.5425461999527,278.9332685800671,854.7487783617605,984.8450855588947,945.4546523836951,746.090110998415
